"","cod_manzana","departamento","provincia","distrito","centro_poblado","manzana","automovil","motocicleta","hombre","mujer","De 0  a 4 años","De 5  a 9 años","De 10 a 14 años","De 15 a 19 años","De 20 a 24 años","De 25 a 29 años","De 30 a 34 años","De 35 a 39 años","De 40 a 44 años","De 45 a 49 años","De 50 a 54 años","De 55 a 59 años","De 60 a 64 años","De 65 a 69 años","De 70 a 74 años","De 75 a 79 años","De 80 a 84 años","De 85 a 89 años","De 90 a 94 años","De 95 a más","total"
"125","120101000100300017H"," Junin","Huancayo","Huancayo","Huancayo","Mza: 017H",12,2,38,41,5,8,4,7,7,6,4,11,3,4,3,5,6,4,0,1,0,1,0,0,79
"126","120101000100300017I"," Junin","Huancayo","Huancayo","Huancayo","Mza: 017I",8,1,27,39,2,5,5,1,5,6,4,5,9,3,2,7,3,3,3,2,1,0,0,0,66
"127","120101000100300017J"," Junin","Huancayo","Huancayo","Huancayo","Mza: 017J",8,0,32,30,4,3,7,6,4,2,9,6,0,2,5,1,8,1,1,3,0,0,0,0,62
"128","120101000100300017K"," Junin","Huancayo","Huancayo","Huancayo","Mza: 017K",6,2,19,24,4,7,5,4,2,2,0,3,9,5,2,0,0,0,0,0,0,0,0,0,43
"129","120101000100300017L"," Junin","Huancayo","Huancayo","Huancayo","Mza: 017L",11,3,49,62,9,5,6,18,14,7,9,9,4,5,4,6,6,4,3,0,0,0,2,0,111
"130","120101000100300017M"," Junin","Huancayo","Huancayo","Huancayo","Mza: 017M",9,2,43,51,7,8,6,6,5,5,10,13,1,6,5,10,2,4,1,4,0,0,1,0,94
"131","120101000100300017N"," Junin","Huancayo","Huancayo","Huancayo","Mza: 017N",20,4,94,127,17,14,13,17,23,17,17,19,12,15,11,16,14,7,4,3,0,2,0,0,221
"132","120101000100300017R"," Junin","Huancayo","Huancayo","Huancayo","Mza: 017R",3,1,29,35,5,3,6,7,3,9,7,5,2,1,3,5,3,2,1,0,0,2,0,0,64
"133","120101000100300017S"," Junin","Huancayo","Huancayo","Huancayo","Mza: 017S",10,2,33,45,3,10,10,6,2,9,4,9,7,2,3,5,1,4,1,2,0,0,0,0,78
"134","120101000100300027A"," Junin","Huancayo","Huancayo","Huancayo","Mza: 027A",3,0,34,37,1,2,2,3,15,8,7,2,0,2,4,12,3,2,5,0,2,1,0,0,71
"135","120101000100300027B"," Junin","Huancayo","Huancayo","Huancayo","Mza: 027B",12,5,123,124,12,12,18,13,24,28,18,16,17,10,15,20,16,8,8,7,2,3,0,0,247
"136","120101000100300027C"," Junin","Huancayo","Huancayo","Huancayo","Mza: 027C",6,3,54,81,11,10,7,8,16,16,13,11,3,8,11,11,4,2,3,0,1,0,0,0,135
